text_prediction,name_prediction,status/day,favorite/day,gender
0.934461,0.5,93.84658385,0,male
0.425923,0.99,7.314369789,0.04610103,male
0.406813,1,0.565753003,0.315060055,male
0.229622,0.02,36.56668923,42.788761,female
0.00734803,0.5,10.72696705,6.4667115,female
0.500246,0.83,16.51354535,5.680015705,female
0.0935158,0.85,6.943442623,0.716393443,female
0.648435,0.99,0.035279025,0.00192431,male
0.023803,0.92,0.015732547,0,male
0.40607,0.02,11.44021164,23.66666667,female
0.220541,0.5,0.406996587,0.328498294,female
0.230369,0.5,1.033539732,1.132094943,male
0.5,0.99,1.332943925,0.154984424,male
0.1501,0.04,0.160278746,2.341463415,female
0.934487,0.91,19.14336373,0.067375887,male
0.0938714,0.5,26.73543689,0.619842233,female
0.187684,1,5.560207824,5.473716381,male
1.54E-04,0.73,9.235729713,0.016661524,male
0.628675,0.87,2.825127334,0.484436899,male
0.14545,0.94,27.82686287,0.029430182,male
0.373167,0.02,0.777910092,0.256623995,female
0.244103,0.93,3.475499093,0.023593466,male
0.32699,0.99,3.934367542,0.00318218,male
0.392698,0.9,14.52857499,0.421013227,male
0.11233,0.16,6.196036191,5.510986644,female
0.0885424,0.5,4.086656819,8.560807484,female
0.800508,0.99,5.874573702,1.787798408,male
0.105297,0.38,16.39257504,0.513033175,female
0.00774207,0.69,8.012448133,2.258298755,female
0.0456141,0.02,0.26487395,0.055462185,female
0.228313,0.9,32.99435028,0.447834275,male
0.373145,0.73,15.46836555,0,female
0.363705,0.02,0.312145289,0.018728717,female
0.967345,0.98,48.46547737,5.130161876,male
0.5,0.58,2.588904694,0.851114272,female
0.339916,0.5,27.99365079,35.07089947,female
0.828625,0.02,19.36653992,0.044106464,female
0.5,0.02,4.542440318,6.50795756,female
0.417952,0.73,4.582231623,13.75092544,female
0.646185,0.04,5.526819368,4.703682227,male
0.585369,0.97,0.153303965,0.125991189,male
0.5,0.5,5.291082445,0.592260236,female
0.0120342,0.02,5.759316089,3.564226217,female
0.283283,0.18,63.42312423,0.056580566,female
0.511965,0.98,1.73787234,0.033191489,male
0.314504,0.5,1.446990424,1.038987688,male
0.686142,0.02,9.108349901,2.461729622,male
0.81785,0.06,173.4657286,0,female
0.5,0.03,37.24559687,5.035225049,female
0.481056,0.99,16.83627563,1.619020501,male
0.5,0.11,2.261823802,2.476043277,female
0.157009,0.02,1.200460829,0.188940092,female
0.189756,0.02,41.85837651,32.27374784,female
0.031694,0.39,2.031956352,3.166796571,female
0.0879058,0.02,0.988826816,0.561305498,female
0.0378748,0.02,1.808481532,1.088235294,female
0.637631,0.99,63.76043643,0.312144213,male
0.0694924,0,36.6975048,0.401919386,female
0.499985,0.02,0.009310987,0.003351955,female
0.0552263,0.5,45.63578117,24.42483982,male
0.583358,0.5,28.29251701,1.700680272,male
0.5,1,146.0507283,5.02E-04,male
0.110328,0.5,6.407124682,0.271310433,female
0.329841,0.99,0.364881315,0.024954352,male
0.039803,0.03,0.852917666,5.142286171,female
0.179021,0.5,18.27682067,0.362176977,female
0.581198,0.5,0.46997389,1.481723238,female
0.556009,0.98,50.69496232,0.065846886,male
0.330615,0.99,8.932633421,3.446194226,male
0.5,0.5,2.261190787,3.67057801,female
0.0619521,0.78,1.295848448,0.25916969,male
0.512841,0.99,23.70326654,0.392808125,male
0.174936,0.02,15.10707692,5.180615385,female
0.5,0.5,0.008394544,0,female
0.5,0.97,6.272217025,3.98362956,male
0.402266,0.99,26.73422958,6.758359186,male
0.574904,1,4.189935679,0.138100643,male
0.5,0.95,1.116749689,0.277708593,male
0.531649,0.5,22.43963652,5.501947209,male
0.0969259,0.5,0.222704266,0.010845987,female
0.0308512,0.02,5.490187713,0.277303754,female
0.639703,0.98,0.781240262,0.974135245,male
0.755823,0.99,0.995859213,0.587301587,male
0.672462,0.97,1.328100471,0.274411303,male
0.43404,0.11,9.914925373,17.67313433,female
0.305169,0.12,7.851677457,12.28487345,female
0.0259292,0.36,15.18407189,0.42981097,female
0.992019,0.82,5.220971373,0.094242522,male
0.107481,0.01,9.92883549,5.949168207,female
0.425214,0.99,37.9800859,0.195236236,male
0.91847,0.93,72.79743008,0.072562358,male
0.4733,0.99,15.3346175,8.169510182,male
4.08E-05,0.31,27.27122836,4.449299258,male
0.279199,0.5,0.016632017,0.006237006,female
0.339181,0.99,1.264589905,0.815851735,male
0.893308,0.98,8.310115082,0.083888552,male
0.113427,0.99,0.264029439,0.307727691,male
0.5,0.02,28.2206172,12.76756402,female
0.5,0.85,6.467100977,2.581758958,female
0.575559,0.99,1.55701629,0.394112604,male
0.230951,0.5,3.715422886,4.5,female
0.0900483,0.5,3.154275093,0.338289963,female
0.283283,0.18,63.42312423,0.056580566,female
0.061346,0.12,8.380056067,33.86543853,female
0.868529,0.94,1.824979458,0.089975349,male
0.479189,0.02,12.6846473,0.001659751,female
0.5,0.04,0.861518826,1.613273772,female
0.302308,0.02,1.45256167,1.129032258,female
0.0790592,0.99,47.61718435,60.48487293,male
0.832343,0.5,2.19823435,0.015248796,male
0.0367786,0.8,18.88433938,11.84297172,female
