@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute gender {male,female}

@data
0.934461,0.5,male
0.425923,0.99,male
0.406813,1,male
0.229622,0.02,female
0.007348,0.5,female
0.500246,0.83,female
0.093516,0.85,female
0.648435,0.99,male
0.023803,0.92,male
0.40607,0.02,female
0.220541,0.5,female
0.230369,0.5,male
0.5,0.99,male
0.1501,0.04,female
0.934487,0.91,male
0.093871,0.5,female
0.187684,1,male
0.000154,0.73,male
0.628675,0.87,male
0.14545,0.94,male
0.373167,0.02,female
0.244103,0.93,male
0.32699,0.99,male
0.392698,0.9,male
0.11233,0.16,female
0.088542,0.5,female
0.800508,0.99,male
0.105297,0.38,female
0.007742,0.69,female
0.045614,0.02,female
0.228313,0.9,male
0.373145,0.73,female
0.363705,0.02,female
0.967345,0.98,male
0.5,0.58,female
0.339916,0.5,female
0.828625,0.02,female
0.5,0.02,female
0.417952,0.73,female
0.646185,0.04,male
0.585369,0.97,male
0.5,0.5,female
0.012034,0.02,female
0.283283,0.18,female
0.511965,0.98,male
0.314504,0.5,male
0.686142,0.02,male
0.81785,0.06,female
0.5,0.03,female
0.481056,0.99,male
0.5,0.11,female
0.157009,0.02,female
0.189756,0.02,female
0.031694,0.39,female
0.087906,0.02,female
0.037875,0.02,female
0.637631,0.99,male
0.069492,0,female
0.499985,0.02,female
0.055226,0.5,male
0.583358,0.5,male
0.5,1,male
0.110328,0.5,female
0.329841,0.99,male
0.039803,0.03,female
0.179021,0.5,female
0.581198,0.5,female
0.556009,0.98,male
0.330615,0.99,male
0.5,0.5,female
0.061952,0.78,male
0.512841,0.99,male
0.174936,0.02,female
0.5,0.5,female
0.5,0.97,male
0.402266,0.99,male
0.574904,1,male
0.5,0.95,male
0.531649,0.5,male
0.096926,0.5,female
0.030851,0.02,female
0.639703,0.98,male
0.755823,0.99,male
0.672462,0.97,male
0.43404,0.11,female
0.305169,0.12,female
0.025929,0.36,female
0.992019,0.82,male
0.107481,0.01,female
0.425214,0.99,male
0.91847,0.93,male
0.4733,0.99,male
0.000041,0.31,male
0.279199,0.5,female
0.339181,0.99,male
0.893308,0.98,male
0.113427,0.99,male
0.5,0.02,female
0.5,0.85,female
0.575559,0.99,male
0.230951,0.5,female
0.090048,0.5,female
0.283283,0.18,female
0.061346,0.12,female
0.868529,0.94,male
0.479189,0.02,female
0.5,0.04,female
0.302308,0.02,female
0.079059,0.99,male
0.832343,0.5,male
0.036779,0.8,female
0.904638,0.99,male
0.696607,0.99,male
0.101455,0.5,male
0.062493,0.98,male
0.147861,0.02,female
0.5,0.86,female
0.258322,0.79,male
0.732251,0.77,female
0.841845,1,male
0.085855,0.5,female
0.435625,0.99,male
0.893308,0.98,male
0.037079,0.5,male
0.312249,0.99,male
0.126077,0.71,male
0.794051,0.5,female
0.147079,0.98,male
0.062529,0.99,male
0.160934,0.87,male
0.833869,0.5,female
0.172701,0.99,male
0.072495,0.32,female
0.012712,0.99,male
0.152836,0.5,female
0.141394,0.02,female
0.087003,0.89,female
0.937841,0.98,male
0.297542,0.69,male
0.397554,0.02,female
0.483927,0.78,male
0.769111,0.5,female
0.574936,0.55,female
0.08743,0.5,male
0.07482,0.58,male
0.416149,0.02,female
0.221122,0.99,male
0.045907,0.5,female
0.11594,0.06,female
0.134947,0.5,female
0.772991,0.97,male
0.08927,0.01,female
0.000163,0.99,male
0.5,0.02,female
0.5,0.99,male
