@relation stream

@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
93.846584,0,male
7.31437,0.046101,male
0.565753,0.31506,male
36.566689,42.788761,female
10.726967,6.466711,female
16.513545,5.680016,female
6.943443,0.716393,female
0.035279,0.001924,male
0.015733,0,male
11.440212,23.666667,female
0.406997,0.328498,female
1.03354,1.132095,male
1.332944,0.154984,male
0.160279,2.341463,female
19.143364,0.067376,male
26.735437,0.619842,female
5.560208,5.473716,male
9.23573,0.016662,male
2.825127,0.484437,male
27.826863,0.02943,male
0.77791,0.256624,female
3.475499,0.023593,male
3.934368,0.003182,male
14.528575,0.421013,male
6.196036,5.510987,female
4.086657,8.560807,female
5.874574,1.787798,male
16.392575,0.513033,female
8.012448,2.258299,female
0.264874,0.055462,female
32.99435,0.447834,male
15.468366,0,female
0.312145,0.018729,female
48.465477,5.130162,male
2.588905,0.851114,female
27.993651,35.070899,female
19.36654,0.044106,female
4.54244,6.507958,female
4.582232,13.750925,female
5.526819,4.703682,male
0.153304,0.125991,male
5.291082,0.59226,female
5.759316,3.564226,female
63.423124,0.056581,female
1.737872,0.033191,male
1.44699,1.038988,male
9.10835,2.46173,male
173.465729,0,female
37.245597,5.035225,female
16.836276,1.619021,male
2.261824,2.476043,female
1.200461,0.18894,female
41.858377,32.273748,female
2.031956,3.166797,female
0.988827,0.561305,female
1.808482,1.088235,female
63.760436,0.312144,male
36.697505,0.401919,female
0.009311,0.003352,female
45.635781,24.42484,male
28.292517,1.70068,male
146.050728,0.000502,male
6.407125,0.27131,female
0.364881,0.024954,male
0.852918,5.142286,female
18.276821,0.362177,female
0.469974,1.481723,female
50.694962,0.065847,male
8.932633,3.446194,male
2.261191,3.670578,female
1.295848,0.25917,male
23.703267,0.392808,male
15.107077,5.180615,female
0.008395,0,female
6.272217,3.98363,male
26.73423,6.758359,male
4.189936,0.138101,male
1.11675,0.277709,male
22.439637,5.501947,male
0.222704,0.010846,female
5.490188,0.277304,female
0.78124,0.974135,male
0.995859,0.587302,male
1.3281,0.274411,male
9.914925,17.673134,female
7.851677,12.284873,female
15.184072,0.429811,female
5.220971,0.094243,male
9.928835,5.949168,female
37.980086,0.195236,male
72.79743,0.072562,male
15.334618,8.16951,male
27.271228,4.449299,male
0.016632,0.006237,female
1.26459,0.815852,male
8.310115,0.083889,male
0.264029,0.307728,male
28.220617,12.767564,female
6.467101,2.581759,female
1.557016,0.394113,male
3.715423,4.5,female
3.154275,0.33829,female
63.423124,0.056581,female
8.380056,33.865439,female
1.824979,0.089975,male
12.684647,0.00166,female
0.861519,1.613274,female
1.452562,1.129032,female
47.617184,60.484873,male
2.198234,0.015249,male
18.884339,11.842972,female
0.902774,0.303674,male
11.002545,2.74402,male
22.714926,8.345932,male
9.489674,7.561957,male
3.356575,1.706973,female
2.197842,0.116906,female
3.146574,0.20902,male
2.820654,0.612534,female
8.134656,0.846208,male
3.154154,0.124308,female
89.193209,3.281494,male
8.310115,0.083889,male
16.709807,3.45206,male
2.861951,2.181053,male
22.242216,6.493713,male
83.549841,0,female
1.650929,0.360403,male
4.751138,1.236115,male
36.237643,4.294583,male
33.76246,0,female
3.172893,1.564655,male
12.568513,40.387755,female
45.427338,1.219185,male
31.233056,24.114943,female
6.9207,6.877103,female
1.958719,0.030249,female
9.613041,0.006881,male
67.870968,43.048387,male
71.977763,0.000996,female
6.664407,4.245763,male
84.367444,0,female
0.002541,0,female
18.155279,2.751996,male
28.39418,13.425926,male
63.705077,0.018533,female
1.231343,1.785075,male
1.663924,0.698418,female
2.196096,0.751351,female
5.001957,0.452707,female
0.631034,0.006207,male
1.204717,2.391594,female
4.12766,11.760638,male
39.337154,11.495617,female
0.066288,0.101515,male
85.900582,0,female
0.23631,0.059524,female
10.456279,22.26693,male
33.692308,0.139589,male
3.24751,0.199517,female
2.800247,0,female
16.591732,8.117984,female
0.006897,0,male
9.102851,3.380971,male
19.476467,7.436493,female
0.315947,0.224027,female
1.898978,1.468218,male
2.550652,0.314658,male
0.630938,0.144336,male
0.939447,3.615681,male
6.683869,3.003708,male
34.859161,8.516115,male
22.271717,21.09798,female
0.132469,0.039597,female
11.597006,0.000306,male
5.934347,1.173556,male
20.463492,10.520635,female
4.116676,1.4612,male
74.734921,0,female
2.860619,1.327434,male
2.771483,0.806844,male
2.035671,0.043765,male
1.242596,3.169168,female
30.468177,14.827041,male
1.397037,0.073481,female
3.861991,9.038462,female
3.458788,1.290963,male
1.694083,2.671598,male
52.261823,0.000343,male
2.016105,0.070278,male
7.693424,3.489362,female
9.954997,32.380429,female
0.239171,0.285625,female
3.633333,1.232927,male
9.388747,10.012788,female
7.292683,1.391463,female
0.398546,0.029679,male
8.337021,0.003687,female
0.643608,0.000876,male
0.037037,0.16167,male
0.554499,2.029993,female
6.483497,5.336307,female
0.648294,0.000875,male
1.071045,0.085373,female
11.591077,1.473714,male
80.530226,0.050983,female
33.204974,16.982847,male
5.145536,7.354839,female
8.92332,9.419979,female
48.625413,103.018624,male
5.973812,0.599701,female
1.868852,1.135561,male
0.071429,0,female
3.328649,5.072432,female
2.274637,0.101373,male
14.436202,13.082097,female
1.48597,0.488309,female
0.492212,0.154725,female
3.166154,0.523077,female
