@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
0.934461,0.5,93.846584,0,male
0.425923,0.99,7.31437,0.046101,male
0.406813,1,0.565753,0.31506,male
0.229622,0.02,36.566689,42.788761,female
0.007348,0.5,10.726967,6.466711,female
0.500246,0.83,16.513545,5.680016,female
0.093516,0.85,6.943443,0.716393,female
0.648435,0.99,0.035279,0.001924,male
0.023803,0.92,0.015733,0,male
0.40607,0.02,11.440212,23.666667,female
0.220541,0.5,0.406997,0.328498,female
0.230369,0.5,1.03354,1.132095,male
0.5,0.99,1.332944,0.154984,male
0.1501,0.04,0.160279,2.341463,female
0.934487,0.91,19.143364,0.067376,male
0.093871,0.5,26.735437,0.619842,female
0.187684,1,5.560208,5.473716,male
0.000154,0.73,9.23573,0.016662,male
0.628675,0.87,2.825127,0.484437,male
0.14545,0.94,27.826863,0.02943,male
0.373167,0.02,0.77791,0.256624,female
0.244103,0.93,3.475499,0.023593,male
0.32699,0.99,3.934368,0.003182,male
0.392698,0.9,14.528575,0.421013,male
0.11233,0.16,6.196036,5.510987,female
0.088542,0.5,4.086657,8.560807,female
0.800508,0.99,5.874574,1.787798,male
0.105297,0.38,16.392575,0.513033,female
0.007742,0.69,8.012448,2.258299,female
0.045614,0.02,0.264874,0.055462,female
0.228313,0.9,32.99435,0.447834,male
0.373145,0.73,15.468366,0,female
0.363705,0.02,0.312145,0.018729,female
0.967345,0.98,48.465477,5.130162,male
0.5,0.58,2.588905,0.851114,female
0.339916,0.5,27.993651,35.070899,female
0.828625,0.02,19.36654,0.044106,female
0.5,0.02,4.54244,6.507958,female
0.417952,0.73,4.582232,13.750925,female
0.646185,0.04,5.526819,4.703682,male
0.585369,0.97,0.153304,0.125991,male
0.5,0.5,5.291082,0.59226,female
0.012034,0.02,5.759316,3.564226,female
0.283283,0.18,63.423124,0.056581,female
0.511965,0.98,1.737872,0.033191,male
0.314504,0.5,1.44699,1.038988,male
0.686142,0.02,9.10835,2.46173,male
0.81785,0.06,173.465729,0,female
0.5,0.03,37.245597,5.035225,female
