prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
f,0.75,94.19763092,151093,0,5.266666667,79,male
m,0.95,7.33546483,14913,94,1.971163749,1914,male
m,0.95,0.56680037,1837,1022,4.069767442,700,male
f,0.95,36.70020394,53986,63162,0.571974522,898,female
m,0.75,10.73719677,31868,19196,1.586345382,790,female
m,0.75,16.54191263,42033,14436,1.749445676,1578,female
f,0.75,6.960969597,16943,1748,1.537037037,166,female
m,0.95,0.035347044,110,6,0.291139241,23,male
m,0.95,0.015825915,16,0,0.219178082,16,male
f,0.95,11.44161359,21556,44371,1.095156135,4454,female
f,0.75,0.40874036,477,385,0.297029703,90,female
f,0.75,1.036749482,2003,2198,73.56410256,2869,male
m,0.75,1.335675254,3422,395,0.201086957,74,male
f,0.75,0.160839161,276,4026,0.734597156,155,female
m,0.95,19.18435754,37774,132,1.035164503,6859,male
m,0.75,26.72401216,87922,2031,1.330532213,475,female
m,0.95,5.536129822,18081,17635,0.525762355,500,male
m,0.75,9.255332303,29941,54,0.704647676,1410,male
m,0.75,2.834752981,4992,856,0.827468785,729,male
m,0.95,27.86355082,88829,94,3.48245614,1588,male
f,0.95,0.779003877,2612,859,0.618453865,248,female
m,0.95,3.481818182,11490,78,4.303571429,964,male
m,0.95,3.943779904,9891,8,0.793786824,1482,male
m,0.75,14.54686328,58202,1685,14.93437946,20938,male
f,0.75,6.211663067,14380,12788,1.00795756,380,female
m,0.75,4.089338598,8285,17354,1.034632035,239,female
m,0.95,5.879271071,15486,4699,1.374871001,5329,male
m,0.75,16.36169371,41346,1286,3.132721202,3753,female
m,0.95,8.050104384,7712,2169,1.063909774,283,female
m,0.75,1.341726619,2238,1253,0.617886179,76,male
f,0.75,0.265409229,788,165,5.7890625,741,female
f,0.75,33.04945262,87548,1187,1.75530303,2317,male
m,0.75,15.53662842,17603,0,0.571129707,273,female
f,0.95,0.313211845,550,33,0.421052632,16,female
m,0.75,48.47617472,146495,15364,1.676470588,2109,male
f,0.75,2.597242035,5462,1802,0.561889251,345,female
f,0.75,27.96595745,26288,32718,0.617647059,1764,female
f,0.95,19.4553094,25467,58,1.085405405,1004,female
f,0.95,4.576203209,3423,4903,0.291866029,61,female
m,0.75,4.593103448,8658,25910,0.872964169,268,female
f,0.75,5.534998548,19057,16042,0.394248053,658,male
m,0.95,0.15323295,173,143,0.343137255,35,male
m,0.75,5.302024747,9427,1056,1.080152672,283,female
f,0.95,5.772307692,13132,8128,0.769230769,90,female
f,0.95,63.6654321,103138,92,12.53846154,489,female
m,0.75,1.733447002,6100,117,2.327306444,5020,male
f,0.75,1.447756081,4226,3029,0.988465975,857,male
f,0.95,9.137587238,18330,4956,1.093711467,1774,male
f,0.95,173.9394629,382145,0,15.70909091,864,female
m,0.75,37.35672228,76133,10290,34.00480769,14146,female
m,0.95,16.78836281,58860,5508,0.848648649,785,male
f,0.95,2.261690926,7303,7973,1.126373626,205,female
f,0.95,1.202848345,3125,491,0.267082506,942,female
f,0.95,42.06684028,48461,37326,1.539160045,1356,female
f,0.75,2.037558685,2604,4055,0.397297297,294,female
f,0.95,0.990574374,3363,1903,1.561205273,829,female
f,0.95,1.805003427,5267,3147,0.993630573,780,female
m,0.95,63.91963861,134423,658,1.251569604,5781,male
f,0.75,36.77452866,95577,1040,1.087769784,1512,female
f,0.95,0.00933184,25,9,0.954545455,84,female
f,0.75,45.77904103,92611,49603,13.49454545,3711,male
m,0.95,28.22281481,95252,5742,0.986139807,34365,male
m,0.75,146.4921914,290787,1,1.180257511,275,male
f,0.75,6.419694073,20145,854,1.024414063,1049,female
m,0.75,0.364939024,1197,82,0.453914141,719,male
f,0.95,0.895074089,2235,13077,1.438888889,777,female
m,0.75,18.27943485,46576,917,1.588766299,1584,female
m,0.75,0.469548134,717,2216,0.685863874,131,female
m,0.75,50.71343402,127595,166,1.001030907,49522,male
m,0.95,8.937554969,10162,3911,0.929177057,3726,male
m,0.75,2.263180828,5194,8399,0.978417266,136,female
m,0.95,1.298989899,3215,640,0.673724735,700,male
m,0.95,23.72394831,86284,1427,2.116042441,63221,male
f,0.95,15.11713933,49040,16711,2.142180095,452,female
f,0.75,0.00844773,8,0,0,0,female
m,0.95,6.29315197,13417,8484,1.34765625,345,male
m,0.95,26.77969613,77554,19606,1.008814103,1259,male
m,0.95,4.174061433,11007,355,10.564,2641,male
f,0.75,1.118178983,3586,888,0.536585366,220,male
f,0.75,22.46637744,51785,12632,0.670692432,833,male
f,0.75,0.223674655,308,15,0.203225806,63,female
f,0.95,5.503849444,12868,648,1.188405797,492,female
m,0.95,0.780518264,2500,3114,1.690566038,896,male
m,0.95,0.993762994,1434,842,0.360294118,49,male
m,0.95,1.323584906,4209,866,1.564356436,474,male
f,0.75,9.969265367,13299,23713,10.54,527,female
f,0.75,7.854695806,13298,20777,1.226600985,249,female
f,0.75,15.21204595,48998,1380,1.348101266,426,female
f,0.75,5.214308733,16180,293,0.444921316,311,male
f,0.95,9.956441149,21486,12874,2.421097955,11246,female
m,0.95,38.01996086,97141,500,2.498583569,882,male
m,0.95,73.12908125,96311,96,8.1,405,male
m,0.95,15.35501654,55708,29683,75.42240403,599231,male
m,0.95,27.41093621,33085,5395,1.036645161,4017,male
m,0.95,0.016842105,8,3,0,1,female
m,0.75,1.261264822,3191,2065,0.268229167,103,male
m,0.95,8.278822816,27287,277,1.010260986,4529,male
m,0.75,0.264760148,574,669,1.068493151,78,male
f,0.95,28.20986842,85758,38672,2.149494949,1064,female
f,0.95,6.482668411,9912,3942,0.611666667,367,female
m,0.95,1.559118236,5446,1376,2.375280899,1057,male
f,0.75,3.716067864,7447,8993,0.855696203,338,female
m,0.75,3.168224299,3390,364,1.734693878,255,female
f,0.95,63.6654321,103138,92,12.53846154,489,female
f,0.75,8.413488559,20958,84761,0.400681597,823,female
m,0.75,1.828253707,4439,219,0.836134454,398,male
f,0.95,12.67083333,15205,2,41.23809524,7794,female
m,0.75,0.864276569,1350,2528,0.796178344,125,female
f,0.95,1.460877863,1531,1190,0.621621622,46,female
m,0.75,47.55357865,117600,149091,2.370122192,6013,male
m,0.75,2.207091056,2739,19,0.867376573,896,male
f,0.75,18.91874736,44705,27959,3.057761733,847,female
m,0.95,0.902377972,3605,1215,0.910211268,1034,male
m,0.95,11.00459184,21569,5388,0.693042292,1016,male
f,0.75,22.70803859,35311,12876,2.27016129,1689,male
m,0.75,9.508446866,17448,13911,0.657200811,324,male
f,0.95,3.367021277,3798,1928,1.045627376,275,female
m,0.75,2.238181818,1231,65,7.75,62,female
m,0.75,3.158674804,3623,238,0.85106383,40,male
m,0.95,2.824180166,7148,1545,2.869688385,2026,female
m,0.95,8.153764205,22961,2389,4.312599681,2704,male
f,0.75,3.155363748,10236,410,1.00921659,219,female
m,0.95,89.333787,262552,9661,1.177445187,127920,male
m,0.95,8.278822816,27287,277,1.010260986,4529,male
m,0.75,16.72524662,45777,9404,11.73529412,17955,male
m,0.95,2.8632532,9171,6974,0.749672346,572,male
m,0.75,22.25787106,74230,21604,12.21927711,10142,male
m,0.75,83.81648936,157575,0,0,61,female
m,0.95,1.651954603,5240,1145,3.695464363,5133,male
m,0.75,4.70173305,15464,3728,1.875251509,932,male
m,0.95,36.24811732,91454,10811,10.83196721,2643,male
m,0.75,33.87021277,63676,0,0,16,female
m,0.95,3.177713737,6616,3262,0.87173913,401,male
f,0.75,12.58491947,17191,54951,1.434782609,429,female
m,0.95,45.47570948,94544,2539,7.481481481,2424,male
f,0.75,31.21613031,78571,60410,3.159047619,3317,female
f,0.95,6.922944616,20125,19942,1.018800813,2005,female
f,0.75,1.958273894,5491,84,1.409946237,1049,female
m,0.95,9.620485883,29304,21,0.948837209,612,male
m,0.75,70.3697479,8374,5262,1.159727947,5627,male
f,0.95,72.12138344,216869,3,0.956653341,16751,female
m,0.75,6.706984668,7874,5037,0.501453488,345,male
m,0.75,84.63670213,159117,0,43,43,female
m,0.75,0.002560819,2,0,0,0,female
f,0.75,18.1934193,40917,6201,1.104925054,516,male
m,0.75,28.44518126,64343,30466,2.389027431,958,male
f,0.95,63.77966102,237069,69,1.133099907,24271,female
m,0.95,1.235955056,1650,2377,0.816849817,223,male
f,0.75,1.665821179,5254,2207,24.26844015,20070,female
f,0.95,2.187669173,7274,2462,0.708894879,789,female
f,0.75,5.009168304,7649,684,2.348993289,350,female
m,0.75,0.632342778,1830,18,0.314606742,168,male
f,0.75,1.204786428,3977,7904,0.316154609,319,female
m,0.95,4.155495979,3100,8824,0.294117647,45,male
f,0.95,39.48205823,58315,17017,3.404494382,606,female
m,0.95,0.066438876,175,268,0.434782609,60,male
m,0.75,86.17400531,162438,0,0,75,female
m,0.75,0.236363636,793,194,0.777777778,56,female
m,0.75,10.41650165,15781,33522,1.058169376,1237,male
m,0.75,33.76079734,101620,421,1.252346194,1201,male
m,0.75,3.253401875,10759,661,0.961432507,349,female
m,0.75,2.810676598,4528,0,0.773942635,1592,female
f,0.75,16.61468722,54978,26852,0.929963899,1288,female
f,0.95,0.006968641,4,0,0,0,male
m,0.95,9.122393822,23627,8776,1.83974359,861,male
f,0.95,19.53074434,30175,11526,1.337190083,1618,female
f,0.75,0.316759537,739,524,0.67032967,122,female
m,0.95,1.903758542,3343,2584,0.305832148,215,male
m,0.95,2.556538462,6647,820,1.625641026,1585,male
m,0.75,0.632640587,1035,237,1.616541353,215,male
f,0.75,0.929849176,2651,10181,0.706185567,137,male
